ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
aff98a2be87e3a08b1e594b05654ed8c20c9bb74 refs/remotes/origin/deploy-40-snapshot  [ON-ORIGIN-PATH: YES]
65deb12ef92c00a40d2b8b6b4d66b1e2712798f5 refs/remotes/origin/deploy-41-snapshot  [ON-ORIGIN-PATH: YES]
eef367b29fcca7b224c31184549bc545db3f71fe refs/remotes/origin/deploy-42-snapshot  [ON-ORIGIN-PATH: YES]
b67ac9de7e79a02ece8bc5f95355e2e50320666e refs/remotes/origin/deploy-43-snapshot  [ON-ORIGIN-PATH: YES]
e5218539d576be5a8788da9d410aac4ef0b8a134 refs/remotes/origin/deploy-44-snapshot  [ON-ORIGIN-PATH: YES]
7b94440b5878b03c6ee8301f0d9f1dc4336788ce refs/remotes/origin/deploy-45-snapshot  [ON-ORIGIN-PATH: YES]
44056dea0a9cf5987b03a1160d4bce1db6ffb4ce refs/remotes/origin/deploy-46-snapshot  [ON-ORIGIN-PATH: YES]
d1a061cc217e1f5c23953bb1b744e8cf444ebad6 refs/remotes/origin/deploy-47-snapshot  [ON-ORIGIN-PATH: YES]
0533f0ab39fa2719cb27cc474a32c34a56cf5bd6 refs/remotes/origin/deploy-48-snapshot  [ON-ORIGIN-PATH: YES]
cdfa1bf076aefe36a6038e8007dff6345f75663f refs/remotes/origin/deploy-49-snapshot  [ON-ORIGIN-PATH: YES]
b06528a48fcaac29886e894131c3ba8857670988 refs/remotes/origin/deploy-50-snapshot  [ON-ORIGIN-PATH: YES]
42ced660a4e445c6ce2bcbf7fc93f1a2d8df3ce0 refs/remotes/origin/deploy-51-snapshot  [ON-ORIGIN-PATH: YES]
758de9f7b26003b8f86577e89109b77c8c590206 refs/remotes/origin/deploy-52-snapshot  [ON-ORIGIN-PATH: YES]
773fb008b17f42ddf5157b882b1ad423accfd45c refs/remotes/origin/deploy-53-snapshot  [ON-ORIGIN-PATH: YES]
0697a71176722e23c1be40c19b57ab6c2191ac22 refs/remotes/origin/deploy-54-snapshot  [ON-ORIGIN-PATH: YES]
5c0e5cf281b261f50dc5e7499bc3a4f0a2bfdd30 refs/remotes/origin/deploy-55-snapshot  [ON-ORIGIN-PATH: YES]
798efc5d8030e23de0a5f00946a4ea7ce8427885 refs/remotes/origin/deploy-9-snapshot  [ON-ORIGIN-PATH: YES]
582793ea1d7e8fcf9c0be28390a553abf2c7916f refs/remotes/origin/deploy-task-state-phase1-live  [ON-ORIGIN-PATH: YES]
6cddeb432638cf37346524878ab5150d06abce65 refs/remotes/origin/explore/auth-review  [ON-ORIGIN-PATH: YES]
c6519ab9a2643b14a4027756577036b21d1bf932 refs/remotes/origin/explore/decomposer-rerun  [ON-ORIGIN-PATH: YES]
146b3be8a1aa3f04c360f9e9c98b47452e35cec2 refs/remotes/origin/explore/dnd-broken-investigation  [ON-ORIGIN-PATH: YES]
7a2e742ec083f1f48179c16e6d1b6a3297d30883 refs/remotes/origin/explore/f46-missing  [ON-ORIGIN-PATH: YES]
79776b1f9f2d26b94871096fa4387445ffbd303e refs/remotes/origin/explore/graph-redraw  [ON-ORIGIN-PATH: YES]
f1a86dca6a855ee9bf4b7179dae305b6ef3e3580 refs/remotes/origin/explore/issue-76-validation  [ON-ORIGIN-PATH: YES]
f1a86dca6a855ee9bf4b7179dae305b6ef3e3580 refs/remotes/origin/explore/issue-77-validation  [ON-ORIGIN-PATH: YES]
8dfd5b867c11cc4f73e88ffb478e3cc220ebf6cc refs/remotes/origin/explore/local-test-protocol  [ON-ORIGIN-PATH: YES]
6cddeb432638cf37346524878ab5150d06abce65 refs/remotes/origin/explore/passthrough-write  [ON-ORIGIN-PATH: YES]
b8ee51f8afdabd2708f8eaba00c3d4d448a6fd3a refs/remotes/origin/explore/reciprocal-relationship  [ON-ORIGIN-PATH: YES]
b8ee51f8afdabd2708f8eaba00c3d4d448a6fd3a refs/remotes/origin/explore/relationship-model  [ON-ORIGIN-PATH: YES]
5ca903745168374aa2805d466f0ed53fbcf21003 refs/remotes/origin/explore/sync-flicker  [ON-ORIGIN-PATH: YES]
6cddeb432638cf37346524878ab5150d06abce65 refs/remotes/origin/explore/tree-lines  [ON-ORIGIN-PATH: YES]
146b3be8a1aa3f04c360f9e9c98b47452e35cec2 refs/remotes/origin/explore/triage-dnd-investigation  [ON-ORIGIN-PATH: YES]
5d197fe8116221f62ab6eaf1849b6ac499389a1c refs/remotes/origin/farmtable-cloudsql-fix2  [ON-ORIGIN-PATH: YES]
5d197fe8116221f62ab6eaf1849b6ac499389a1c refs/remotes/origin/farmtable-f61-rename  [ON-ORIGIN-PATH: YES]
5d197fe8116221f62ab6eaf1849b6ac499389a1c refs/remotes/origin/farmtable-f61-review-2  [ON-ORIGIN-PATH: YES]
5d197fe8116221f62ab6eaf1849b6ac499389a1c refs/remotes/origin/farmtable-f62-review  [ON-ORIGIN-PATH: YES]
5d197fe8116221f62ab6eaf1849b6ac499389a1c refs/remotes/origin/farmtable-f63-review  [ON-ORIGIN-PATH: YES]
dcf5aa34e8a3111b931c2fcf73782e0fee4f5f43 refs/remotes/origin/farmtable-f65-review  [ON-ORIGIN-PATH: YES]
dcf5aa34e8a3111b931c2fcf73782e0fee4f5f43 refs/remotes/origin/farmtable-f66-review  [ON-ORIGIN-PATH: YES]
dcf5aa34e8a3111b931c2fcf73782e0fee4f5f43 refs/remotes/origin/farmtable-perf-phase1-review  [ON-ORIGIN-PATH: YES]
dcf5aa34e8a3111b931c2fcf73782e0fee4f5f43 refs/remotes/origin/farmtable-periodic-redraw-review  [ON-ORIGIN-PATH: YES]
71e980fbc6077ff4e8e5e60ab66693a2e291a769 refs/remotes/origin/feat/add-task-ui  [ON-ORIGIN-PATH: YES]
