pair	arm	exit	secs	loadavg1
1	armA	1	8.6	6.19
1	armB	0	3.4	6.18
2	armA	1	6.2	6.24
2	armB	0	1.5	6.54
3	armA	1	6.3	6.50
3	armB	0	1.5	6.22
4	armA	1	6.3	6.22
4	armB	0	2.0	5.88
5	armA	1	6.6	6.29
5	armB	0	1.7	6.43
6	armA	1	6.5	6.43
6	armB	0	1.4	6.96
7	armA	1	6.3	6.96
7	armB	0	1.7	6.80
8	armA	1	6.4	6.98
8	armB	0	1.9	7.06
9	armA	1	6.7	7.06
9	armB	0	2.0	7.23
10	armA	1	6.7	7.23
10	armB	0	1.5	7.13
